,Symbol,Name,Exchange,MarketCap
91,AIRT,"Air T, Inc.",NASDAQ,59640000.0
92,ATSG,"Air Transport Services Group, Inc",NASDAQ,1280000000.0
93,AIRG,"Airgain, Inc.",NASDAQ,102980000.0
94,ANTE,AirNet Technology Inc.,NASDAQ,13700000.0
95,AKAM,"Akamai Technologies, Inc.",NASDAQ,14610000000.0
96,AKTX,Akari Therapeutics Plc,NASDAQ,36120000.0
97,SONG,Akazoo S.A.,NASDAQ,246690000.0
98,SONGW,Akazoo S.A.,NASDAQ,3830000.0
99,AKCA,"Akcea Therapeutics, Inc.",NASDAQ,1730000000.0
100,AKBA,"Akebia Therapeutics, Inc.",NASDAQ,477830000.0
101,KERN,Akerna Corp.,NASDAQ,57090000.0
102,AKRO,"Akero Therapeutics, Inc.",NASDAQ,599380000.0
103,AKER,Akers Biosciences Inc.,NASDAQ,5040000.0
104,AKRX,"Akorn, Inc.",NASDAQ,590350000.0
105,AKTS,"Akoustis Technologies, Inc.",NASDAQ,255170000.0
106,ALRM,"Alarm.com Holdings, Inc.",NASDAQ,2370000000.0
107,ALSK,"Alaska Communications Systems Group, Inc.",NASDAQ,87790000.0
108,ALAC,Alberton Acquisition Corporation,NASDAQ,150720000.0
109,ALBO,"Albireo Pharma, Inc.",NASDAQ,221230000.0
110,ABDC,Alcentra Capital Corp.,NASDAQ,115110000.0
111,ALDX,"Aldeyra Therapeutics, Inc.",NASDAQ,161060000.0
112,ALEC,"Alector, Inc.",NASDAQ,1100000000.0
113,ALRS,Alerus Financial Corporation,NASDAQ,374120000.0
114,ALXN,"Alexion Pharmaceuticals, Inc.",NASDAQ,23580000000.0
115,ALCO,"Alico, Inc.",NASDAQ,237010000.0
116,ALGN,"Align Technology, Inc.",NASDAQ,19440000000.0
117,ALIM,"Alimera Sciences, Inc.",NASDAQ,26050000.0
118,ALYA,Alithya Group inc.,NASDAQ,133699999.99999999
119,ALJJ,"ALJ Regional Holdings, Inc.",NASDAQ,50310000.0
120,ALKS,Alkermes plc,NASDAQ,3070000000.0
121,ALLK,Allakos Inc.,NASDAQ,3400000000.0
122,ABTX,"Allegiance Bancshares, Inc.",NASDAQ,718750000.0
123,ALGT,Allegiant Travel Company,NASDAQ,2710000000.0
124,ALGR,Allegro Merger Corp.,NASDAQ,194030000.0
125,ALNA,"Allena Pharmaceuticals, Inc.",NASDAQ,132820000.0
126,ARLP,"Alliance Resource Partners, L.P.",NASDAQ,1750000000.0
127,LNT,Alliant Energy Corporation,NASDAQ,12630000000.0
128,AESE,"Allied Esports Entertainment, Inc.",NASDAQ,109210000.0
129,AHPI,"Allied Healthcare Products, Inc.",NASDAQ,5040000.0
130,AMOT,"Allied Motion Technologies, Inc.",NASDAQ,357110000.0
131,ALLO,"Allogene Therapeutics, Inc.",NASDAQ,3550000000.0
132,ALLT,Allot Ltd.,NASDAQ,254200000.0
133,MDRX,"Allscripts Healthcare Solutions, Inc.",NASDAQ,1830000000.0
134,ALNY,"Alnylam Pharmaceuticals, Inc.",NASDAQ,9930000000.0
135,AOSL,Alpha and Omega Semiconductor Limited,NASDAQ,313990000.0
136,GOOG,Alphabet Inc.,NASDAQ,877240000000.0
137,GOOGL,Alphabet Inc.,NASDAQ,876660000000.0
138,SMCP,AlphaMark Actively Managed Small Cap ETF,NASDAQ,21410000.0
139,ATEC,"Alphatec Holdings, Inc.",NASDAQ,345200000.0
140,ALPN,"Alpine Immune Sciences, Inc.",NASDAQ,52420000.0
141,ALTR,Altair Engineering Inc.,NASDAQ,2560000000.0
142,ATHE,Alterity Therapeutics Limited,NASDAQ,16780000.0
143,ALT,"Altimmune, Inc.",NASDAQ,30370000.0
144,ASPS,Altisource Portfolio Solutions S.A.,NASDAQ,302170000.0
145,AIMC,Altra Industrial Motion Corp.,NASDAQ,1920000000.0
146,ALTM,Altus Midstream Company,NASDAQ,792830000.0
147,AMAG,"AMAG Pharmaceuticals, Inc.",NASDAQ,415730000.0
148,AMAL,Amalgamated Bank,NASDAQ,551110000.0
149,AMRN,Amarin Corporation plc,NASDAQ,5910000000.0
150,AMRK,"A-Mark Precious Metals, Inc.",NASDAQ,77350000.0
151,AMZN,"Amazon.com, Inc.",NASDAQ,871250000000.0
152,AMBC,"Ambac Financial Group, Inc.",NASDAQ,901000000.0
153,AMBA,"Ambarella, Inc.",NASDAQ,1750000000.0
154,AMCX,AMC Networks Inc.,NASDAQ,2600000000.0
155,AMCI,AMCI Acquisition Corp.,NASDAQ,276480000.0
156,DOX,Amdocs Limited,NASDAQ,8850000000.0
157,AMED,Amedisys Inc,NASDAQ,4300000000.0
158,AMTB,Amerant Bancorp Inc.,NASDAQ,822620000.0
159,AMTBB,Amerant Bancorp Inc.,NASDAQ,597310000.0
160,UHAL,Amerco,NASDAQ,8070000000.0
161,AMRH,"Ameri Holdings, Inc.",NASDAQ,8610000.0
162,ATAX,"America First Multifamily Investors, L.P.",NASDAQ,468300000.0
163,AMOV,"America Movil, S.A.B. de C.V.",NASDAQ,53100000000.0
164,AAL,"American Airlines Group, Inc.",NASDAQ,13740000000.0
165,AFIN,"American Finance Trust, Inc.",NASDAQ,1530000000.0
166,AFINP,"American Finance Trust, Inc.",NASDAQ,30520000.0
167,AMNB,"American National Bankshares, Inc.",NASDAQ,404050000.0
168,ANAT,American National Insurance Company,NASDAQ,3120000000.0
169,AOBC,American Outdoor Brands Corporation,NASDAQ,393620000.0
170,APEI,"American Public Education, Inc.",NASDAQ,357060000.0
171,AREC,American Resources Corporation,NASDAQ,19360000.0
172,AMRB,American River Bankshares,NASDAQ,87130000.0
173,AMSWA,"American Software, Inc.",NASDAQ,491200000.0
174,AMSC,American Superconductor Corporation,NASDAQ,200570000.0
175,AMWD,American Woodmark Corporation,NASDAQ,1700000000.0
176,CRMT,"America&#39;s Car-Mart, Inc.",NASDAQ,601470000.0
177,ABCB,Ameris Bancorp,NASDAQ,3010000000.0
178,AMSF,"AMERISAFE, Inc.",NASDAQ,1210000000.0
179,ASRV,AmeriServ Financial Inc.,NASDAQ,72840000.0
180,ASRVP,AmeriServ Financial Inc.,NASDAQ,609000.0
181,ATLO,Ames National Corporation,NASDAQ,251390000.0
182,AMGN,Amgen Inc.,NASDAQ,121770000000.0
183,FOLD,"Amicus Therapeutics, Inc.",NASDAQ,2210000000.0
184,AMKR,"Amkor Technology, Inc.",NASDAQ,2600000000.0
185,AMPH,"Amphastar Pharmaceuticals, Inc.",NASDAQ,921860000.0
186,IBUY,Amplify Online Retail ETF,NASDAQ,250670000.0
187,ASYS,"Amtech Systems, Inc.",NASDAQ,79470000.0
188,AMRS,"Amyris, Inc.",NASDAQ,381550000.0
189,ADI,"Analog Devices, Inc.",NASDAQ,39460000000.0
190,ANAB,"AnaptysBio, Inc.",NASDAQ,1040000000.0
191,AVXL,Anavex Life Sciences Corp.,NASDAQ,144790000.0
192,ANCN,Anchiano Therapeutics Ltd.,NASDAQ,17360000.0
193,ANDA,Andina Acquisition Corp. III,NASDAQ,138950000.0
194,ANGI,ANGI Homeservices Inc.,NASDAQ,3550000000.0
195,ANGO,"AngioDynamics, Inc.",NASDAQ,532860000.0
196,ANIP,"ANI Pharmaceuticals, Inc.",NASDAQ,944420000.0
197,ANIK,Anika Therapeutics Inc.,NASDAQ,1010000000.0
198,ANIX,"Anixa Biosciences, Inc.",NASDAQ,79210000.0
199,ANSS,"ANSYS, Inc.",NASDAQ,18520000000.0
200,ATRS,"Antares Pharma, Inc.",NASDAQ,570720000.0
201,ATEX,Anterix Inc.,NASDAQ,674500000.0
202,APLS,"Apellis Pharmaceuticals, Inc.",NASDAQ,1800000000.0
203,APEX,Apex Global Brands Inc.,NASDAQ,6070000.0
204,APOG,"Apogee Enterprises, Inc.",NASDAQ,996580000.0
205,APEN,"Apollo Endosurgery, Inc.",NASDAQ,64260000.00000001
206,AINV,Apollo Investment Corporation,NASDAQ,1080000000.0
207,AMEH,"Apollo Medical Holdings, Inc.",NASDAQ,743350000.0
208,APPF,"AppFolio, Inc.",NASDAQ,3090000000.0
209,APPN,Appian Corporation,NASDAQ,2900000000.0
210,AAPL,Apple Inc.,NASDAQ,1114340000000.0
211,APDN,Applied DNA Sciences Inc,NASDAQ,10900000.0
212,AGTC,Applied Genetic Technologies Corporation,NASDAQ,52100000.0
213,AMAT,"Applied Materials, Inc.",NASDAQ,51470000000.0
214,AAOI,"Applied Optoelectronics, Inc.",NASDAQ,198490000.0
215,APLT,"Applied Therapeutics, Inc.",NASDAQ,270450000.0
216,AREX,Approach Resources Inc.,NASDAQ,10770000.0
217,APRE,"Aprea Therapeutics, Inc.",NASDAQ,491580000.0
218,APVO,Aptevo Therapeutics Inc.,NASDAQ,27960000.0
219,APTX,Aptinyx Inc.,NASDAQ,105370000.0
220,APM,Aptorum Group Limited,NASDAQ,460210000.0
221,APTO,"Aptose Biosciences, Inc.",NASDAQ,114770000.0
222,APYX,Apyx Medical Corporation,NASDAQ,215400000.0
223,AQMS,"Aqua Metals, Inc.",NASDAQ,101960000.0
224,AQB,"AquaBounty Technologies, Inc.",NASDAQ,52280000.0
225,AQST,"Aquestive Therapeutics, Inc.",NASDAQ,82890000.0
226,ARAV,"Aravive, Inc.",NASDAQ,74480000.0
227,ABUS,Arbutus Biopharma Corporation,NASDAQ,50030000.0
228,ABIO,"ARCA biopharma, Inc.",NASDAQ,7760000.0
229,RKDA,"Arcadia Biosciences, Inc.",NASDAQ,35610000.0
230,ARCB,ArcBest Corporation,NASDAQ,784240000.0
231,ACGL,Arch Capital Group Ltd.,NASDAQ,16520000000.0
232,FUV,"Arcimoto, Inc.",NASDAQ,38260000.0
233,ARCE,Arco Platform Limited,NASDAQ,1000000000.0
234,ARCT,Arcturus Therapeutics Holdings Inc.,NASDAQ,154730000.0
235,ARDX,"Ardelyx, Inc.",NASDAQ,316520000.0
236,ARNA,"Arena Pharmaceuticals, Inc.",NASDAQ,2440000000.0
237,ARCC,Ares Capital Corporation,NASDAQ,7840000000.0
238,ARGX,argenx SE,NASDAQ,4340000000.0
239,ARDS,Aridis Pharmaceuticals Inc.,NASDAQ,49730000.0
240,ARKR,Ark Restaurants Corp.,NASDAQ,73030000.0
241,ARTX,Arotech Corporation,NASDAQ,78930000.0
242,ARQL,"ArQule, Inc.",NASDAQ,1140000000.0
243,DWCR,Arrow DWA Country Rotation ETF,NASDAQ,12150000.0
244,DWAT,Arrow DWA Tactical ETF,NASDAQ,4500000.0
245,AROW,Arrow Financial Corporation,NASDAQ,513400000.0
246,ARWR,"Arrowhead Pharmaceuticals, Inc.",NASDAQ,3670000000.0
247,ARTL,"Artelo Biosciences, Inc.",NASDAQ,8100000.0
248,ARTNA,Artesian Resources Corporation,NASDAQ,340000000.0
249,ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",NASDAQ,8450000.0
250,ARVN,"Arvinas, Inc.",NASDAQ,718180000.0
251,ARYA,ARYA Sciences Acquisition Corp.,NASDAQ,184000000.0
252,ASNA,"Ascena Retail Group, Inc.",NASDAQ,96660000.0
253,ASND,Ascendis Pharma A/S,NASDAQ,4920000000.0
254,APWC,Asia Pacific Wire & Cable Corporation Limited,NASDAQ,18190000.0
255,ASLN,ASLAN Pharmaceuticals Limited,NASDAQ,51280000.0
256,ASML,ASML Holding N.V.,NASDAQ,111180000000.0
257,ASPU,Aspen Group Inc.,NASDAQ,113490000.0
258,AZPN,"Aspen Technology, Inc.",NASDAQ,7920000000.0
259,ASMB,"Assembly Biosciences, Inc.",NASDAQ,389790000.0
260,ASRT,"Assertio Therapeutics, Inc.",NASDAQ,74220000.0
261,ASFI,"Asta Funding, Inc.",NASDAQ,43910000.0
262,ASTE,"Astec Industries, Inc.",NASDAQ,735080000.0
263,ATRO,Astronics Corporation,NASDAQ,981890000.0
264,ALOT,"AstroNova, Inc.",NASDAQ,109980000.0
265,ASTC,Astrotech Corporation,NASDAQ,8940000.0
266,ASUR,Asure Software Inc,NASDAQ,140120000.0
267,AACG,ATA Creativity Global,NASDAQ,44500000.0
268,ATRA,"Atara Biotherapeutics, Inc.",NASDAQ,660690000.0
269,ATNX,"Athenex, Inc.",NASDAQ,844040000.0
270,ATHX,"Athersys, Inc.",NASDAQ,198480000.0
271,ATIF,ATIF Holdings Limited,NASDAQ,107640000.0
272,AAME,Atlantic American Corporation,NASDAQ,44150000.0
273,ACBI,"Atlantic Capital Bancshares, Inc.",NASDAQ,414800000.0
274,AUB,Atlantic Union Bankshares Corporation,NASDAQ,3100000000.0
275,AY,Atlantica Yield plc,NASDAQ,2370000000.0
276,ATLC,Atlanticus Holdings Corporation,NASDAQ,128780000.0
277,AAWW,Atlas Air Worldwide Holdings,NASDAQ,659800000.0
278,AFH,"Atlas Financial Holdings, Inc.",NASDAQ,7160000.0
279,TEAM,Atlassian Corporation Plc,NASDAQ,13880000000.0
280,ATNI,"ATN International, Inc.",NASDAQ,967490000.0
281,ATOM,Atomera Incorporated,NASDAQ,61640000.0
282,ATOS,Atossa Genetics Inc.,NASDAQ,15790000.0
283,BCEL,"Atreca, Inc.",NASDAQ,303510000.0
284,ATRC,"AtriCure, Inc.",NASDAQ,1050000000.0
285,ATRI,Atrion Corporation,NASDAQ,1510000000.0
286,ATIS,Attis Industries Inc.,NASDAQ,4099999.9999999995
287,LIFE,"aTyr Pharma, Inc.",NASDAQ,14860000.0
288,AUBN,"Auburn National Bancorporation, Inc.",NASDAQ,154330000.0
289,BOLD,"Audentes Therapeutics, Inc.",NASDAQ,1250000000.0
290,AUDC,AudioCodes Ltd.,NASDAQ,546460000.0
291,AEYE,"AudioEye, Inc.",NASDAQ,26060000.0
292,AUPH,Aurinia Pharmaceuticals Inc,NASDAQ,459170000.0
293,EARS,Auris Medical Holding Ltd.,NASDAQ,5610000.0
294,JG,Aurora Mobile Limited,NASDAQ,456990000.0
295,ADSK,"Autodesk, Inc.",NASDAQ,31960000000.0
296,AUTL,Autolus Therapeutics plc,NASDAQ,603210000.0
297,ADP,"Automatic Data Processing, Inc.",NASDAQ,70240000000.0
298,AUTO,"AutoWeb, Inc.",NASDAQ,34380000.0
299,AVDL,Avadel Pharmaceuticals plc,NASDAQ,155040000.0
300,AVCO,Avalon GloboCare Corp.,NASDAQ,120290000.0
301,AVDR,"Avedro, Inc",NASDAQ,402160000.0
302,ATXI,"Avenue Therapeutics, Inc.",NASDAQ,92240000.0
303,AVEO,"AVEO Pharmaceuticals, Inc.",NASDAQ,147580000.0
304,AVNW,"Aviat Networks, Inc.",NASDAQ,74400000.0
305,CDMO,"Avid Bioservices, Inc.",NASDAQ,290190000.0
306,CDMOP,"Avid Bioservices, Inc.",NASDAQ,18480000.0
307,AVID,"Avid Technology, Inc.",NASDAQ,283510000.0
308,AVGR,"Avinger, Inc.",NASDAQ,11570000.0
309,CAR,"Avis Budget Group, Inc.",NASDAQ,2270000000.0
310,RCEL,Avita Medical Limited,NASDAQ,844150000.0
311,AVT,"Avnet, Inc.",NASDAQ,3990000000.0
312,AVRO,"AVROBIO, Inc.",NASDAQ,464820000.0
313,AWRE,"Aware, Inc.",NASDAQ,61700000.0
314,ACLS,"Axcelis Technologies, Inc.",NASDAQ,633710000.0
315,AXLA,Axcella Health Inc.,NASDAQ,115410000.0
316,AXGN,"AxoGen, Inc.",NASDAQ,460850000.0
317,AAXN,"Axon Enterprise, Inc.",NASDAQ,3220000000.0
318,AXNX,"Axonics Modulation Technologies, Inc.",NASDAQ,589890000.0
319,AXGT,Axovant Gene Therapies Ltd.,NASDAQ,143290000.0
320,AXSM,"Axsome Therapeutics, Inc.",NASDAQ,806080000.0
321,AXTI,AXT Inc,NASDAQ,117800000.0
322,AYTU,"Aytu BioScience, Inc.",NASDAQ,19810000.0
323,AZRX,"AzurRx BioPharma, Inc.",NASDAQ,17800000.0
324,BCOM,B Communications Ltd.,NASDAQ,45400000.0
325,RILY,"B. Riley Financial, Inc.",NASDAQ,638000000.0
326,BOSC,B.O.S. Better Online Solutions,NASDAQ,9110000.0
327,BIDU,"Baidu, Inc.",NASDAQ,36200000000.0
328,BCPC,Balchem Corporation,NASDAQ,3240000000.0
329,BLDP,"Ballard Power Systems, Inc.",NASDAQ,1360000000.0
330,BANF,BancFirst Corporation,NASDAQ,1890000000.0
331,BANFP,BancFirst Corporation,NASDAQ,27700000.0
332,BCTF,"Bancorp 34, Inc.",NASDAQ,48750000.0
333,BAND,Bandwidth Inc.,NASDAQ,1380000000.0
334,BFC,Bank First Corporation,NASDAQ,490830000.0
335,BOCH,Bank of Commerce Holdings (CA),NASDAQ,204000000.0
336,BMRC,Bank of Marin Bancorp,NASDAQ,595120000.0
337,BMLP,Bank Of Montreal,NASDAQ,3820000.0
338,BKSC,Bank of South Carolina Corp.,NASDAQ,103010000.0
339,BOTJ,"Bank of the James Financial Group, Inc.",NASDAQ,65650000.00000001
340,OZK,Bank OZK,NASDAQ,3750000000.0
341,BSVN,Bank7 Corp.,NASDAQ,184390000.0
342,BFIN,BankFinancial Corporation,NASDAQ,191560000.0
343,BWFG,"Bankwell Financial Group, Inc.",NASDAQ,215710000.0
344,BANR,Banner Corporation,NASDAQ,1910000000.0
345,BZUN,Baozun Inc.,NASDAQ,2710000000.0
346,DFVL,Barclays PLC,NASDAQ,5170000.0
347,DFVS,Barclays PLC,NASDAQ,3560000.0
348,DLBS,Barclays PLC,NASDAQ,6720000.0
349,DTUL,Barclays PLC,NASDAQ,5290000.0
350,DTUS,Barclays PLC,NASDAQ,4280000.0
351,DTYL,Barclays PLC,NASDAQ,5480000.0
352,DTYS,Barclays PLC,NASDAQ,24350000.0
353,FLAT,Barclays PLC,NASDAQ,4790000.0
354,STPP,Barclays PLC,NASDAQ,3830000.0
355,TAPR,Barclays PLC,NASDAQ,7780000.0
356,BBSI,"Barrett Business Services, Inc.",NASDAQ,657040000.0
357,GOLD,Barrick Gold Corporation,NASDAQ,30580000000.0
358,BSET,"Bassett Furniture Industries, Incorporated",NASDAQ,156670000.0
359,GLG,"Bat Group, Inc.",NASDAQ,5140000.0
360,BCML,BayCom Corp,NASDAQ,259360000.0
361,BBQ,"BBQ Holdings, Inc. ",NASDAQ,46830000.0
362,BCBP,"BCB Bancorp, Inc. (NJ)",NASDAQ,212350000.0
363,BECN,"Beacon Roofing Supply, Inc.",NASDAQ,2190000000.0
364,BBGI,"Beasley Broadcast Group, Inc.",NASDAQ,81680000.0
365,BBBY,Bed Bath & Beyond Inc.,NASDAQ,1820000000.0
366,BGNE,"BeiGene, Ltd.",NASDAQ,8380000000.000001
367,BELFA,Bel Fuse Inc.,NASDAQ,168370000.0
368,BELFB,Bel Fuse Inc.,NASDAQ,176870000.0
369,BLPH,"Bellerophon Therapeutics, Inc.",NASDAQ,30320000.0
370,BLCM,"Bellicum Pharmaceuticals, Inc.",NASDAQ,38710000.0
371,BLU,BELLUS Health Inc.,NASDAQ,389760000.0
372,BNFT,"Benefitfocus, Inc.",NASDAQ,753670000.0
373,BNTC,Benitec Biopharma Limited,NASDAQ,8100000.0
374,BRY,Berry Petroleum Corporation,NASDAQ,810540000.0
375,XAIR,"Beyond Air, Inc.",NASDAQ,50490000.0
376,BYND,"Beyond Meat, Inc.",NASDAQ,6070000000.0
377,BYSI,"BeyondSpring, Inc.",NASDAQ,289740000.0
378,BGCP,"BGC Partners, Inc.",NASDAQ,1800000000.0
379,BCYC,Bicycle Therapeutics plc,NASDAQ,169700000.0
380,BGFV,Big 5 Sporting Goods Corporation,NASDAQ,54860000.0
381,BRPA,Big Rock Partners Acquisition Corp.,NASDAQ,72730000.0
382,BILI,Bilibili Inc.,NASDAQ,5060000000.0
383,BASI,"Bioanalytical Systems, Inc.",NASDAQ,46190000.0
384,BCDA,"BioCardia, Inc.",NASDAQ,27290000.0
385,BIOC,"Biocept, Inc.",NASDAQ,17490000.0
386,BCRX,"BioCryst Pharmaceuticals, Inc.",NASDAQ,259529999.99999997
387,BDSI,"BioDelivery Sciences International, Inc.",NASDAQ,503120000.0
388,BFRA,Biofrontera AG,NASDAQ,247610000.0
389,BIIB,Biogen Inc.,NASDAQ,51970000000.0
390,BHTG,"BioHiTech Global, Inc.",NASDAQ,27170000.0
391,BKYI,"BIO-key International, Inc.",NASDAQ,8640000.0
392,BIOL,"Biolase, Inc.",NASDAQ,13190000.0
393,BLFS,"BioLife Solutions, Inc.",NASDAQ,346170000.0
394,BLRX,BioLineRx Ltd.,NASDAQ,27000000.0
395,BMRN,BioMarin Pharmaceutical Inc.,NASDAQ,12780000000.0
396,BMRA,"Biomerica, Inc.",NASDAQ,31320000.0
397,BNGO,"Bionano Genomics, Inc.",NASDAQ,9720000.0
398,BVXV,BiondVax Pharmaceuticals Ltd.,NASDAQ,35430000.0
399,BPTH,"Bio-Path Holdings, Inc.",NASDAQ,34750000.0
400,BSGM,"BioSig Technologies, Inc.",NASDAQ,155540000.0
401,BSTC,BioSpecifics Technologies Corp,NASDAQ,346870000.0
402,TECH,Bio-Techne Corp,NASDAQ,7700000000.0
403,BEAT,"BioTelemetry, Inc.",NASDAQ,1370000000.0
404,BTAI,"BioXcel Therapeutics, Inc.",NASDAQ,72050000.0
405,BJRI,"BJ&#39;s Restaurants, Inc.",NASDAQ,886990000.0
406,BLKB,"Blackbaud, Inc.",NASDAQ,4210000000.0
407,BL,"BlackLine, Inc.",NASDAQ,2650000000.0
408,BKCC,BlackRock Capital Investment Corporation,NASDAQ,319400000.0
